                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0188,                 2.2363,                 1.3218,                0.53171,                0.57697,                0.54785,                0.36516,                 1.0637,                 1.5531,                 1.3362,             0.00016578,             0.00016578,             0.00016578
                      2,                0.87127,                 1.2673,                 1.1858,                0.57842,                0.59796,                0.60388,                0.40628,                 1.0815,                 1.3232,                 1.3567,             0.00031929,             0.00031929,             0.00031929
                      3,                 0.8453,                 1.0703,                 1.1681,                0.64887,                0.63106,                0.64657,                 0.4418,                 1.0569,                 1.2932,                 1.3292,             0.00045959,             0.00045959,             0.00045959
                      4,                0.79962,                0.96109,                 1.1351,                0.61908,                0.67429,                0.65121,                0.45349,                 1.0539,                 1.1956,                 1.3402,              0.0004406,              0.0004406,              0.0004406
                      5,                0.75968,                0.86142,                 1.1045,                0.60762,                0.68519,                0.67629,                 0.4723,                 1.0603,                 1.1512,                 1.3701,              0.0004208,              0.0004208,              0.0004208
                      6,                0.72611,                0.80534,                 1.0845,                0.64912,                0.68121,                0.68924,                0.49081,                 1.0073,                 1.1834,                 1.3241,               0.000401,               0.000401,               0.000401
                      7,                0.70949,                0.75037,                  1.078,                 0.7127,                0.67417,                0.70563,                0.49513,                   1.01,                 1.1002,                 1.3195,              0.0003812,              0.0003812,              0.0003812
                      8,                0.68842,                0.71693,                 1.0614,                0.64605,                0.67977,                  0.695,                0.49525,                0.99237,                 1.1104,                 1.3052,              0.0003614,              0.0003614,              0.0003614
                      9,                0.65929,                0.66859,                 1.0453,                0.72085,                 0.6299,                0.68944,                0.49499,                0.99394,                 1.2261,                 1.2981,              0.0003416,              0.0003416,              0.0003416
                     10,                0.65062,                0.65039,                 1.0406,                0.69948,                0.68654,                 0.7059,                0.50724,                0.98183,                  1.106,                 1.2862,              0.0003218,              0.0003218,              0.0003218
                     11,                0.61964,                0.59007,                  1.017,                0.66525,                0.74018,                 0.7273,                0.52834,                0.95025,                 1.0666,                 1.2663,               0.000302,               0.000302,               0.000302
                     12,                0.60037,                0.57235,                 1.0083,                 0.7033,                0.68355,                0.69545,                0.51198,                0.96602,                 1.1742,                 1.2846,              0.0002822,              0.0002822,              0.0002822
                     13,                0.58729,                0.55274,                  1.003,                0.70448,                0.66284,                0.68324,                0.50838,                0.95267,                 1.1795,                 1.2856,              0.0002624,              0.0002624,              0.0002624
                     14,                 0.5753,                0.53903,                0.99801,                0.74548,                0.67427,                0.71335,                0.51731,                0.97484,                 1.1353,                 1.2986,              0.0002426,              0.0002426,              0.0002426
                     15,                0.56128,                0.51007,                0.98466,                0.69255,                 0.7062,                 0.7084,                0.52902,                  0.944,                 1.1686,                 1.2645,              0.0002228,              0.0002228,              0.0002228
                     16,                0.54024,                0.47006,                0.98254,                0.70849,                 0.6874,                0.71994,                0.52902,                0.94852,                 1.0415,                 1.2791,               0.000203,               0.000203,               0.000203
                     17,                0.51054,                0.42952,                0.95868,                0.71819,                 0.6679,                0.69679,                0.51352,                0.96158,                 1.1337,                 1.2883,              0.0001832,              0.0001832,              0.0001832
                     18,                0.48686,                0.40144,                0.94146,                0.72566,                0.68791,                0.70934,                0.52445,                0.93427,                 1.1326,                 1.2878,              0.0001634,              0.0001634,              0.0001634
                     19,                0.46467,                0.37229,                0.93106,                0.73977,                0.68497,                0.72194,                0.53434,                0.93513,                 1.1263,                 1.2757,              0.0001436,              0.0001436,              0.0001436
                     20,                0.45604,                0.36191,                0.92659,                0.74166,                0.67667,                0.71732,                0.53066,                0.92848,                 1.1296,                 1.2688,              0.0001238,              0.0001238,              0.0001238
                     21,                0.43459,                0.34597,                0.90972,                0.71492,                0.66658,                0.70344,                0.53336,                0.92102,                 1.2184,                 1.2695,               0.000104,               0.000104,               0.000104
                     22,                 0.4113,                0.32954,                0.90211,                 0.7146,                0.69837,                0.70963,                0.53932,                0.92839,                 1.1735,                 1.2743,               8.42e-05,               8.42e-05,               8.42e-05
                     23,                0.39836,                0.31929,                0.89773,                0.73724,                0.67513,                0.71153,                0.53902,                0.91677,                 1.1858,                 1.2728,               6.44e-05,               6.44e-05,               6.44e-05
                     24,                  0.388,                0.30618,                0.88997,                 0.7577,                 0.6682,                0.71509,                0.54719,                0.90837,                 1.1881,                 1.2643,               4.46e-05,               4.46e-05,               4.46e-05
                     25,                0.37605,                0.29684,                0.88142,                0.75468,                0.68897,                0.71994,                0.54789,                0.90875,                 1.1757,                 1.2655,               2.48e-05,               2.48e-05,               2.48e-05
